k,metric,kappa,mcc,accuracy
10,cosine,1.0,1.0,1.0
12,cosine,1.0,1.0,1.0
14,cosine,1.0,1.0,1.0
6,cosine,1.0,1.0,1.0
15,cosine,1.0,1.0,1.0
5,cosine,0.9665924276169264,0.9673116176179397,0.9777777777777777
4,cosine,0.9665924276169264,0.9673116176179397,0.9777777777777777
9,cosine,0.9665924276169264,0.9673116176179397,0.9777777777777777
8,cosine,0.9665924276169264,0.9673116176179397,0.9777777777777777
1,cosine,0.9665924276169264,0.9673116176179397,0.9777777777777777
3,cosine,0.9665924276169264,0.9673116176179397,0.9777777777777777
11,cosine,0.9665924276169264,0.9673116176179397,0.9777777777777777
2,cosine,0.9665924276169264,0.9673116176179397,0.9777777777777777
7,cosine,0.9665924276169264,0.9673116176179397,0.9777777777777777
13,cosine,0.9665924276169264,0.9673116176179397,0.9777777777777777
